Proxy,,Key uncertainty 1?,Value: key uncertainty 1?  Select one option per row. [How uncertain is your key area?],,Value: key uncertainty 1?  Select one option per row. [How important is your key area?],,Tag1,Tag2,Oop
ClimaticallySensitiveLithologies,Key uncertainty 4?,Incomplete databases,Very,5,Very,5,Sampling,,6
PalaeoMagnetics,Key uncertainty 4?,Incomplete databases,Very,5,Very,5,Sampling,,6
Fossils,Key uncertainty 4?,shared datasets,Moderate,3,Moderate,3,Sampling,,6
PalaeoMagnetics,Key uncertainty 4?,shared datasets,Moderate,3,Moderate,3,Sampling,,6
Igneous/MetamorphicLithologies,Key uncertainty 4?,shared datasets,Moderate,3,Moderate,3,Sampling,,6
ClimaticallySensitiveLithologies,Key uncertainty 4?,shared datasets,Moderate,3,Moderate,3,Sampling,,6
Fossils,Key uncertainty 1?,uneven sampling,Very,5,Quite,4,Sampling,,6
PalaeoMagnetics,Key uncertainty 1?,uneven sampling,Very,5,Quite,4,Sampling,,6
Igneous/MetamorphicLithologies,Key uncertainty 1?,uneven sampling,Very,5,Quite,4,Sampling,,6
ClimaticallySensitiveLithologies,Key uncertainty 1?,uneven sampling,Very,5,Quite,4,Sampling,,6
ClimaticallySensitiveLithologies,FreeText,Sea level,Moderate,3,Quite,4,SeaLevel,PalaeoGeography,4
Fossils,FreeText,Sea level,Moderate,3,Quite,4,SeaLevel,PalaeoGeography,4
Fossils,FreeText,preservation,Very,5,Moderate,3,Taphonomy,,2
Fossils,Key uncertainty 3?,Taphonomy,Moderate,3,Moderate,3,Taphonomy,FaciesFormation,2
Fossils,Key uncertainty 4?,Low taxonomic resolution,Quite,4,Moderate,3,Taxonomy,PalaeoBioG,3
Fossils,Key uncertainty 3,Taxonomy,Quite,4,Very,5,Taxonomy,,3
Fossils,Key uncertainty 1?,Taxonomy of key groups,Moderate,3,Quite,4,Taxonomy,,3
Igneous/MetamorphicLithologies,Key uncertainty 4?,Regional tectonic affinity,Very,5,Quite,4,TectonicAffinity,,1
PalaeoMagnetics,Key uncertainty 4?,True Polar Wander,Very,5,Very,5,TPW,PalaeoMag,1
Igneous/MetamorphicLithologies,Key uncertainty 3?,Biases of the rock and fossil records (true absences?),Very,5,Very,5,TrueAbsense,,2
ClimaticallySensitiveLithologies,Key uncertainty 3?,Biases of the rock and fossil records (true absences?),Very,5,Very,5,TrueAbsense,,2
Fossils,Key uncertainty 3?,Biases of the rock and fossil records (true absences?),Very,5,Very,5,TrueAbsense,,2
PalaeoMagnetics,Key uncertainty 3?,Biases of the rock and fossil records (true absences?),Very,5,Very,5,TrueAbsense,,2
Igneous/MetamorphicLithologies,Key uncertainty 6,Non-uniqueness of single proxy zircon barcoding,Quite,4,Quite,4,ZirconBarcoding,,1
Igneous/MetamorphicLithologies,Key uncertainty 1?,Detrital zircon - distance between crystallisation location and depocentre,Quite,4,Quite,4,ZirconTransport,,1
